folio,nro,upm,ms02_0216,ms01_0101_1a,ms01_0101_1b,ms01_0101_1c,ms02_0217,ms02_0218,ms02_0219_1,ms02_0219_2,ms02_0220,ms02_0221,ms02_0222,ms02_0223,ms02_0224,ms02_0224_1,ms02_0225,ms02_0225_cod,estrato,departamento,area,ponderadorm,b3,v008,ms02_0223_o
114-002040-A-0311,1.0,114-002040-A,1.0,25.0,9.0,2023.0,1. UNICO,2. MUJER,7.0,2019.0,1. SI,4.0,1. SI,2.0,,,,,114,1. Chuquisaca,1. Urbana,0.7442776878062954,1435.0,1485.0,2.0
114-002040-A-0311,1.0,114-002040-A,2.0,25.0,9.0,2023.0,1. UNICO,1. HOMBRE,6.0,2021.0,1. SI,2.0,1. SI,3.0,,,,,114,1. Chuquisaca,1. Urbana,0.7442776878062954,1458.0,1485.0,3.0
111-000186-A-0181,1.0,111-000186-A,1.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,6.0,2014.0,1. SI,9.0,1. SI,2.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1374.0,1485.0,2.0
111-000186-A-0181,1.0,111-000186-A,2.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,10.0,2017.0,1. SI,5.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1414.0,1485.0,3.0
111-000186-A-0201,1.0,111-000186-A,1.0,7.0,9.0,2023.0,1. UNICO,2. MUJER,7.0,1995.0,1. SI,28.0,2. NO,0.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1147.0,1485.0,0.0
111-000186-A-0201,1.0,111-000186-A,2.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,6.0,1999.0,1. SI,24.0,2. NO,0.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1194.0,1485.0,0.0
111-000186-A-0201,1.0,111-000186-A,3.0,7.0,9.0,2023.0,1. UNICO,1. HOMBRE,2.0,2011.0,1. SI,12.0,1. SI,2.0,,,,,111,1. Chuquisaca,1. Urbana,0.4270246620459571,1334.0,1485.0,2.0
112-000389-A-0131,2.0,112-000389-A,1.0,11.0,9.0,2023.0,1. UNICO,2. MUJER,4.0,2009.0,1. SI,14.0,1. SI,3.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1312.0,1485.0,3.0
112-000389-A-0131,2.0,112-000389-A,2.0,11.0,9.0,2023.0,1. UNICO,1. HOMBRE,11.0,2017.0,1. SI,5.0,1. SI,4.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1415.0,1485.0,4.0
112-000389-A-0131,2.0,112-000389-A,3.0,11.0,9.0,2023.0,1. UNICO,1. HOMBRE,1.0,2020.0,1. SI,3.0,1. SI,5.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1441.0,1485.0,5.0
112-000389-A-0151,2.0,112-000389-A,1.0,12.0,9.0,2023.0,1. UNICO,2. MUJER,6.0,2015.0,1. SI,8.0,1. SI,3.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1386.0,1485.0,3.0
112-000389-A-0151,2.0,112-000389-A,2.0,12.0,9.0,2023.0,1. UNICO,2. MUJER,5.0,2022.0,1. SI,1.0,1. SI,4.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1469.0,1485.0,4.0
112-000389-A-0161,3.0,112-000389-A,1.0,11.0,9.0,2023.0,1. UNICO,2. MUJER,1.0,2011.0,1. SI,12.0,1. SI,4.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1333.0,1485.0,4.0
112-000389-A-0161,3.0,112-000389-A,2.0,11.0,9.0,2023.0,1. UNICO,1. HOMBRE,11.0,2017.0,1. SI,5.0,1. SI,5.0,,,,,112,1. Chuquisaca,1. Urbana,0.4056465806484956,1415.0,1485.0,5.0
152-004014-D-0051,1.0,152-004014-D,1.0,24.0,10.0,2023.0,1. UNICO,2. MUJER,8.0,2014.0,1. SI,9.0,1. SI,3.0,,,,,122,1. Chuquisaca,2. Rural,0.5491435839090938,1376.0,1486.0,3.0
